outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
True,1170298836,61,1,38,assessment,3,1,2.44,1,3,0.75,96.3333333333,-0.63
True,1170298876,40,1,38,assessment,4,1,2.952,1,4,0.8,87.5,-0.63
True,1170298916,40,1,38,assessment,5,1,3.3616,1,5,0.833333333333,78.0,-0.63
True,1170298955,39,1,38,assessment,6,1,3.68928,1,6,0.857142857143,71.6666666667,-0.63
True,1170298995,40,1,38,assessment,7,1,3.951424,1,7,0.875,67.0,-0.63
True,1170299036,41,1,38,assessment,8,1,4.1611392,1,8,0.888888888889,63.625,-0.63
True,1170299078,42,1,38,assessment,9,1,4.32891136,1,9,0.9,61.1111111111,-0.63
True,1170299906,828,1,38,assessment,10,1,4.463129088,1,10,0.909090909091,59.2,-0.63
True,1170300108,202,1,38,assessment,11,1,4.5705032704,1,11,0.916666666667,129.090909091,-0.63
True,1170300261,153,1,38,assessment,12,1,4.65640261632,1,12,0.923076923077,135.166666667,-0.63
True,1170300329,68,1,38,assessment,13,1,4.72512209306,1,13,0.928571428571,136.538461538,-0.63
True,1170300416,87,1,38,assessment,14,1,4.78009767444,1,14,0.933333333333,131.642857143,-0.63
True,1170300536,120,1,38,assessment,15,1,4.82407813956,1,15,0.9375,128.666666667,-0.63
True,1170300626,90,1,38,assessment,16,1,4.85926251164,1,16,0.941176470588,128.125,-0.63
True,1170300723,97,1,38,assessment,17,1,4.88741000932,1,17,0.944444444444,125.882352941,-0.63
True,1170300848,125,1,38,assessment,18,1,4.90992800745,1,18,0.947368421053,124.277777778,-0.63
False,1170300952,104,1,38,assessment,19,1,4.92794240596,1,19,0.95,124.315789474,-0.63
False,1172797501,2496549,1,38,assessment,19,2,3.94235392477,1,19,0.904761904762,123.3,-0.63
True,1170300235,1732,1,40,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298528,15,1,41,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298822,294,1,41,assessment,1,1,1.0,1,1,0.5,15.0,-0.63
True,1170298921,99,1,41,assessment,2,1,1.8,1,2,0.666666666667,154.5,-0.63
True,1170299006,85,1,41,assessment,3,1,2.44,1,3,0.75,136.0,-0.63
True,1170299047,41,1,41,assessment,4,1,2.952,1,4,0.8,123.25,-0.63
True,1170300157,1110,1,41,assessment,5,1,3.3616,1,5,0.833333333333,106.8,-0.63
True,1170300376,219,1,41,assessment,6,1,3.68928,1,6,0.857142857143,274.0,-0.63
True,1170300506,130,1,41,assessment,7,1,3.951424,1,7,0.875,266.142857143,-0.63
True,1170300682,176,1,41,assessment,8,1,4.1611392,1,8,0.888888888889,249.125,-0.63
False,1172797625,2496943,1,41,assessment,9,1,4.32891136,1,9,0.9,241.0,-0.63
True,1170298742,206,1,43,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1171623792,1325050,1,43,assessment,2,0,1.8,0,2,1.0,206.0,-0.63
True,1172797839,2499296,1,44,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298565,17,1,45,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298780,215,1,45,assessment,1,1,1.0,1,1,0.5,17.0,-0.63
True,1170298862,82,1,45,assessment,2,1,1.8,1,2,0.666666666667,116.0,-0.63
True,1170298950,88,1,45,assessment,3,1,2.44,1,3,0.75,104.666666667,-0.63
True,1170299015,65,1,45,assessment,4,1,2.952,1,4,0.8,100.5,-0.63
True,1170299087,72,1,45,assessment,5,1,3.3616,1,5,0.833333333333,93.4,-0.63
True,1170300101,1014,1,45,assessment,6,1,3.68928,1,6,0.857142857143,89.8333333333,-0.63
True,1170300315,214,1,45,assessment,7,1,3.951424,1,7,0.875,221.857142857,-0.63
True,1170300500,185,1,45,assessment,8,1,4.1611392,1,8,0.888888888889,220.875,-0.63
True,1170300666,166,1,45,assessment,9,1,4.32891136,1,9,0.9,216.888888889,-0.63
True,1172797536,2496870,1,45,assessment,10,1,4.463129088,1,10,0.909090909091,211.8,-0.63
True,1170299895,1339,1,46,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298755,196,1,47,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1171623751,1324996,1,47,assessment,2,0,1.8,0,2,1.0,196.0,-0.63
False,1172797790,2499221,1,48,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1170300170,1596,1,49,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1172797933,2497763,1,49,assessment,1,1,0.8,1,1,0.5,1596.0,-0.63
True,1170298795,202,1,51,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171623767,1324972,1,51,assessment,2,0,1.8,0,2,1.0,202.0,-0.63
True,1170298800,202,1,52,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171623763,1324963,1,52,assessment,2,0,1.8,0,2,1.0,202.0,-0.63
True,1170300467,1866,1,53,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300762,295,1,53,assessment,2,0,1.8,0,2,1.0,1866.0,-0.63
True,1170298629,20,1,54,assessment,0,1,0.0,1,0,0.0,0,-0.63
