outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
False,1171289100,8,2,25,assessment,7,4,3.3868903424,1,3,0.636363636364,7.7,-0.63
True,1171289105,5,2,25,assessment,7,5,2.70951227392,1,3,0.583333333333,7.72727272727,-0.63
True,1171289113,8,2,25,assessment,8,5,3.16760981914,1,3,0.615384615385,7.5,-0.63
True,1171289123,10,2,25,assessment,9,5,3.53408785531,1,3,0.642857142857,7.53846153846,-0.63
True,1171289134,11,2,25,assessment,10,5,3.82727028425,1,3,0.666666666667,7.71428571429,-0.63
True,1171289146,12,2,25,assessment,11,5,4.0618162274,1,4,0.6875,7.93333333333,-0.63
True,1171289153,7,2,25,assessment,12,5,4.24945298192,1,5,0.705882352941,8.1875,-0.63
True,1171289036,8,2,20,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1171289056,20,2,20,assessment,2,0,1.8,0,2,1.0,8.0,-0.63
True,1171289064,8,2,20,assessment,2,1,1.44,1,2,0.666666666667,14.0,-0.63
False,1171289077,13,2,20,assessment,3,1,2.152,1,2,0.75,12.0,-0.63
True,1171289083,6,2,20,assessment,3,2,1.7216,1,2,0.6,12.25,-0.63
False,1171289096,13,2,20,assessment,4,2,2.37728,1,2,0.666666666667,11.0,-0.63
True,1171289102,6,2,20,assessment,4,3,1.901824,1,2,0.571428571429,11.3333333333,-0.63
False,1171289111,9,2,20,assessment,5,3,2.5214592,1,2,0.625,10.5714285714,-0.63
True,1171289116,5,2,20,assessment,5,4,2.01716736,1,2,0.555555555556,10.375,-0.63
False,1171289132,16,2,20,assessment,6,4,2.613733888,1,2,0.6,9.77777777778,-0.63
True,1171289140,8,2,20,assessment,6,5,2.0909871104,1,2,0.545454545455,10.4,-0.63
False,1171289147,7,2,20,assessment,7,5,2.67278968832,1,2,0.583333333333,10.1818181818,-0.63
True,1171289152,5,2,20,assessment,7,6,2.13823175066,1,2,0.538461538462,9.91666666667,-0.63
True,1171289158,6,2,20,assessment,8,6,2.71058540052,1,2,0.571428571429,9.53846153846,-0.63
True,1171289038,7,2,23,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171289058,20,2,23,assessment,2,0,1.8,0,2,1.0,7.0,-0.63
True,1171289080,22,2,23,assessment,3,0,2.44,0,3,1.0,13.5,-0.63
True,1171289098,18,2,23,assessment,4,0,2.952,0,4,1.0,16.3333333333,-0.63
True,1171289121,23,2,23,assessment,5,0,3.3616,0,5,1.0,16.75,-0.63
True,1171289150,29,2,23,assessment,6,0,3.68928,0,6,1.0,18.0,-0.63
True,1171289044,10,2,2,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171289062,18,2,2,assessment,2,0,1.8,0,2,1.0,10.0,-0.63
True,1171289082,20,2,2,assessment,3,0,2.44,0,3,1.0,14.0,-0.63
True,1171289103,21,2,2,assessment,4,0,2.952,0,4,1.0,16.0,-0.63
True,1171289135,32,2,2,assessment,5,0,3.3616,0,5,1.0,17.25,-0.63
True,1171289156,21,2,2,assessment,6,0,3.68928,0,6,1.0,20.2,-0.63
True,1171289048,7,2,10,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171289070,22,2,10,assessment,2,0,1.8,0,2,1.0,7.0,-0.63
True,1171289089,19,2,10,assessment,3,0,2.44,0,3,1.0,14.5,-0.63
True,1171289115,26,2,10,assessment,4,0,2.952,0,4,1.0,16.0,-0.63
True,1171289142,27,2,10,assessment,5,0,3.3616,0,5,1.0,18.5,-0.63
True,1171289203,8,2,3,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171289237,34,2,3,assessment,2,0,1.8,0,2,1.0,8.0,-0.63
True,1171289251,14,2,3,assessment,3,0,2.44,0,3,1.0,21.0,-0.63
True,1171289269,18,2,3,assessment,4,0,2.952,0,4,1.0,18.6666666667,-0.63
True,1171797399,508130,2,3,assessment,5,0,3.3616,0,5,1.0,18.5,-0.63
True,1171797409,10,2,3,assessment,6,0,3.68928,0,6,1.0,101640.8,-0.63
False,1171797425,16,2,3,assessment,7,0,3.951424,0,7,1.0,84702.3333333,-0.63
False,1171797433,8,2,3,assessment,7,1,3.1611392,1,7,0.875,72604.2857143,-0.63
True,1171797440,7,2,3,assessment,7,2,2.52891136,2,7,0.777777777778,63529.75,-0.63
True,1171797450,10,2,3,assessment,8,2,3.023129088,2,7,0.8,56471.6666667,-0.63
True,1171797458,8,2,3,assessment,9,2,3.4185032704,2,7,0.818181818182,50825.5,-0.63
True,1171797468,10,2,3,assessment,10,2,3.73480261632,2,7,0.833333333333,46205.7272727,-0.63
