Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
43	Control	1_1	Unit 12	Be_polluted	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Be_polluted	1	0.6545	Single-KC	43	0.5236	KC50	1	0.6545
44	Control	1_1	Unit 12	Be_polluted	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Be_polluted	2	0.6545	Single-KC	44	0.5236	KC50	2	0.6545
45	Control	1_1	Unit 12	To_save	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	To_save	1	0.6190	Single-KC	45	0.5236	KC19	1	0.6190
46	Control	1_1	Unit 12	To_save	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	To_save	2	0.6190	Single-KC	46	0.5236	KC19	2	0.6190
47	Control	1_1	Unit 12	Oil	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Oil	1	0.5676	Single-KC	47	0.5236	KC49	1	0.5676
48	Control	1_1	Unit 12	Oil	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Oil	2	0.5676	Single-KC	48	0.5236	KC49	2	0.5676
49	Control	1_1	Unit 12	Psychology	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Psychology	1	0.4984	Single-KC	49	0.5236	KC16	1	0.4984
50	Control	1_1	Unit 12	Psychology	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Psychology	2	0.4984	Single-KC	50	0.5236	KC16	2	0.4984
51	Control	1_1	Unit 12	Water_shortage	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Water_shortage	1	0.4800	Single-KC	51	0.5236	KC28	1	0.4800
52	Control	1_1	Unit 12	Waste	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Waste	1	0.4407	Single-KC	52	0.5236	KC3	1	0.4407
53	Control	1_1	Unit 12	Problem	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Problem	1	0.5615	Single-KC	53	0.5236	KC9	1	0.5615
54	Control	1_1	Unit 12	To_look_after	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	To_look_after	1	0.6471	Single-KC	54	0.5236	KC35	1	0.6472
55	Control	1_1	Unit 12	Government	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Government	1	0.4256	Single-KC	55	0.5236	KC15	1	0.4256
56	Control	1_1	Unit 12	To_disappear	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0.5	.	0.5	incorrect	1	0	0	flashcard_1 (3_1)	To_disappear	3	0.5558	Single-KC	56	0.5236	KC23	3	0.5558
57	Control	1_1	Unit 12	To_disappear	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25	1970-01-18 03:05:25	1970-01-18 03:05:25	0.5	0.5	.	correct	0	0	1	flashcard_1 (3_1)	To_disappear	4	0.5558	Single-KC	57	0.5236	KC23	4	0.5558
58	Control	1_1	Unit 12	Value	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Value	3	0.4835	Single-KC	58	0.5236	KC46	3	0.4835
59	Control	1_1	Unit 12	Value	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25	1970-01-18 03:05:25	1970-01-18 03:05:25	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Value	4	0.4835	Single-KC	59	0.5236	KC46	4	0.4835
60	Control	1_1	Unit 12	Wind-force	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Wind-force	3	0.5821	Single-KC	60	0.5236	KC54	3	0.5821
